transaction_id,timestamp,atm_id,bank_id,account_id,transaction_type,amount,status,failed_pin_attempts,is_fraud
TXN014365,2026-01-01 12:29:37,ATM1482,BANK03,ACC107087,WITHDRAWAL,1000,SUCCESS,0,0
TXN002513,2026-01-01 12:32:50,ATM1358,BANK03,ACC104941,WITHDRAWAL,2000,SUCCESS,1,0
TXN009436,2026-01-01 12:35:54,ATM1386,BANK07,ACC102224,WITHDRAWAL,5000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN005423,2026-01-01 12:39:08,ATM1115,BANK09,ACC100694,WITHDRAWAL,3000,SUCCESS,1,0
TXN024089,2026-01-01 12:46:40,ATM1001,BANK02,ACC102948,WITHDRAWAL,3000,SUCCESS,1,0
TXN029914,2026-01-01 13:02:57,ATM1308,BANK02,ACC101044,WITHDRAWAL,2000,SUCCESS,0,0
TXN005724,2026-01-01 13:05:52,ATM1249,BANK07,ACC105590,WITHDRAWAL,1000,SUCCESS,0,0
TXN000536,2026-01-01 13:34:54,ATM1069,BANK01,ACC102946,WITHDRAWAL,1000,SUCCESS,0,0
TXN008301,2026-01-01 13:39:09,ATM1152,BANK01,ACC_MULE_2035,WITHDRAWAL,8000,SUCCESS,1,1
TXN012061,2026-01-01 13:51:11,ATM1118,BANK05,ACC101721,WITHDRAWAL,4000,SUCCESS,0,0
TXN011254,2026-01-01 13:55:32,ATM1142,BANK02,ACC_MULE_2036,WITHDRAWAL,10000,SUCCESS,0,1
TXN021534,2026-01-01 13:57:39,ATM1331,BANK09,ACC100653,WITHDRAWAL,2000,SUCCESS,0,0
TXN006227,2026-01-01 14:02:07,ATM1295,BANK08,ACC104094,WITHDRAWAL,15000,SUCCESS,3,1
TXN010751,2026-01-01 14:04:28,ATM1366,BANK02,ACC107014,WITHDRAWAL,2000,SUCCESS,0,0
TXN000664,2026-01-01 14:19:12,ATM1118,BANK05,ACC103665,WITHDRAWAL,1000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN029588,2026-01-01 14:24:22,ATM1256,BANK04,ACC107773,WITHDRAWAL,1500,SUCCESS,0,0
TXN004507,2026-01-01 14:34:55,ATM1187,BANK09,ACC106283,WITHDRAWAL,1000,SUCCESS,0,0
TXN010806,2026-01-01 14:40:00,ATM1404,BANK09,ACC107103,WITHDRAWAL,1000,SUCCESS,0,0
TXN013254,2026-01-01 14:50:09,ATM1358,BANK03,ACC104466,WITHDRAWAL,1000,SUCCESS,0,0
TXN018644,2026-01-01 14:52:19,ATM1120,BANK10,ACC105755,WITHDRAWAL,1000,SUCCESS,0,0
TXN012918,2026-01-01 14:54:03,ATM1335,BANK07,ACC102325,WITHDRAWAL,4000,SUCCESS,0,0
TXN025236,2026-01-01 14:57:20,ATM1233,BANK02,ACC102481,WITHDRAWAL,10000,SUCCESS,0,0
TXN019961,2026-01-01 15:17:56,ATM1172,BANK03,ACC103711,WITHDRAWAL,5000,SUCCESS,0,0
TXN000230,2026-01-01 15:19:56,ATM1211,BANK08,ACC101043,WITHDRAWAL,1000,SUCCESS,0,0
TXN004732,2026-01-01 15:20:11,ATM1275,BANK10,ACC101100,WITHDRAWAL,3000,SUCCESS,0,0
TXN020047,2026-01-01 15:22:48,ATM1362,BANK09,ACC100213,WITHDRAWAL,500,SUCCESS,0,0
TXN028307,2026-01-01 15:23:22,ATM1214,BANK02,ACC104882,WITHDRAWAL,4000,SUCCESS,0,0
TXN010567,2026-01-01 15:24:43,ATM1477,BANK09,ACC101658,WITHDRAWAL,3000,SUCCESS,0,0
TXN017861,2026-01-01 15:29:31,ATM1003,BANK02,ACC106680,WITHDRAWAL,3000,SUCCESS,0,0
TXN015337,2026-01-01 15:29:52,ATM1134,BANK04,ACC105397,WITHDRAWAL,15000,SUCCESS,0,1
TXN025711,2026-01-01 15:30:39,ATM1027,BANK09,ACC103754,WITHDRAWAL,2000,SUCCESS,0,0
TXN024492,2026-01-01 15:30:43,ATM1063,BANK07,ACC106612,WITHDRAWAL,3000,SUCCESS,0,0
TXN011329,2026-01-01 15:34:16,ATM1032,BANK04,ACC104068,WITHDRAWAL,1500,SUCCESS,0,0
TXN018871,2026-01-01 15:45:12,ATM1081,BANK04,ACC100177,WITHDRAWAL,1000,SUCCESS,0,0
TXN015286,2026-01-01 15:59:00,ATM1352,BANK07,ACC_MULE_2128,WITHDRAWAL,20000,SUCCESS,1,1
TXN002476,2026-01-01 16:02:22,ATM1102,BANK10,ACC103288,WITHDRAWAL,3000,SUCCESS,0,0
TXN029278,2026-01-01 16:05:47,ATM1431,BANK09,ACC106711,WITHDRAWAL,1000,SUCCESS,0,0
TXN013811,2026-01-01 16:06:28,ATM1367,BANK02,ACC100151,WITHDRAWAL,1000,SUCCESS,0,0
TXN000902,2026-01-01 16:17:39,ATM1372,BANK03,ACC101219,WITHDRAWAL,1000,SUCCESS,0,0
TXN025869,2026-01-01 16:22:06,ATM1073,BANK09,ACC101662,WITHDRAWAL,500,SUCCESS,0,0
TXN012190,2026-01-01 16:22:14,ATM1482,BANK03,ACC100775,WITHDRAWAL,1000,SUCCESS,1,0
TXN028540,2026-01-01 16:24:22,ATM1484,BANK07,ACC104950,WITHDRAWAL,5000,SUCCESS,0,0
TXN005427,2026-01-01 16:31:27,ATM1148,BANK06,ACC107360,WITHDRAWAL,3000,SUCCESS,0,0
TXN017427,2026-01-01 16:32:34,ATM1130,BANK06,ACC107271,WITHDRAWAL,1500,SUCCESS,0,0
TXN023039,2026-01-01 16:37:03,ATM1314,BANK08,ACC100525,WITHDRAWAL,2000,SUCCESS,0,0
TXN027970,2026-01-01 16:45:58,ATM1393,BANK01,ACC100153,WITHDRAWAL,500,SUCCESS,0,0
TXN009697,2026-01-01 16:47:09,ATM1374,BANK04,ACC107430,WITHDRAWAL,3000,SUCCESS,0,0
TXN029076,2026-01-01 16:49:13,ATM1184,BANK09,ACC100749,WITHDRAWAL,4000,SUCCESS,0,0
TXN018417,2026-01-01 16:53:40,ATM1009,BANK10,ACC_MULE_2025,WITHDRAWAL,8000,SUCCESS,0,1
TXN005538,2026-01-01 16:56:12,ATM1209,BANK08,ACC100872,WITHDRAWAL,1000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN025747,2026-01-01 17:00:21,ATM1436,BANK01,ACC100493,WITHDRAWAL,3000,SUCCESS,0,0
TXN026173,2026-01-01 17:01:28,ATM1127,BANK07,ACC105440,WITHDRAWAL,4000,SUCCESS,0,0
TXN012602,2026-01-01 17:08:46,ATM1452,BANK10,ACC102142,WITHDRAWAL,1000,SUCCESS,0,0
TXN000380,2026-01-01 17:20:29,ATM1205,BANK06,ACC100293,WITHDRAWAL,1000,SUCCESS,0,0
TXN021211,2026-01-01 17:24:56,ATM1404,BANK09,ACC107428,WITHDRAWAL,8000,FAILED_LIMIT_EXCEEDED,2,1
TXN010123,2026-01-01 17:34:06,ATM1215,BANK08,ACC104598,WITHDRAWAL,1000,SUCCESS,0,0
TXN007626,2026-01-01 17:36:26,ATM1045,BANK01,ACC102280,WITHDRAWAL,2000,SUCCESS,0,0
TXN021441,2026-01-01 17:38:47,ATM1029,BANK09,ACC102928,WITHDRAWAL,2000,SUCCESS,0,0
TXN025764,2026-01-01 17:41:34,ATM1440,BANK02,ACC104704,WITHDRAWAL,3000,SUCCESS,0,0
TXN011581,2026-01-01 17:46:41,ATM1296,BANK05,ACC106857,WITHDRAWAL,3000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN001888,2026-01-01 17:47:02,ATM1444,BANK09,ACC105029,WITHDRAWAL,1500,SUCCESS,0,0
TXN006221,2026-01-01 17:48:31,ATM1408,BANK06,ACC103307,WITHDRAWAL,20000,FAILED_LIMIT_EXCEEDED,2,1
TXN029326,2026-01-01 17:50:10,ATM1258,BANK02,ACC105491,WITHDRAWAL,1000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN010627,2026-01-01 17:53:51,ATM1340,BANK07,ACC100114,WITHDRAWAL,1000,SUCCESS,0,0
TXN004248,2026-01-01 18:00:03,ATM1273,BANK03,ACC106762,WITHDRAWAL,5000,SUCCESS,0,0
TXN007065,2026-01-01 18:00:35,ATM1426,BANK04,ACC103904,WITHDRAWAL,1500,SUCCESS,1,0
TXN022155,2026-01-01 18:01:08,ATM1047,BANK06,ACC100541,WITHDRAWAL,5000,SUCCESS,0,0
TXN010428,2026-01-01 18:05:26,ATM1252,BANK05,ACC106779,WITHDRAWAL,1000,SUCCESS,0,0
TXN020085,2026-01-01 18:07:16,ATM1062,BANK05,ACC101023,WITHDRAWAL,5000,SUCCESS,0,0
TXN008993,2026-01-01 18:07:30,ATM1035,BANK08,ACC102617,WITHDRAWAL,1000,SUCCESS,0,0
TXN022771,2026-01-01 18:12:55,ATM1123,BANK01,ACC104726,WITHDRAWAL,2000,SUCCESS,0,0
TXN026460,2026-01-01 18:18:22,ATM1290,BANK02,ACC104449,WITHDRAWAL,3000,SUCCESS,0,0
TXN022559,2026-01-01 18:21:59,ATM1404,BANK09,ACC102258,WITHDRAWAL,10000,SUCCESS,0,0
TXN007578,2026-01-01 18:25:50,ATM1077,BANK06,ACC100341,WITHDRAWAL,3000,SUCCESS,0,0
TXN027521,2026-01-01 18:32:26,ATM1223,BANK01,ACC102371,WITHDRAWAL,1500,SUCCESS,0,0
TXN022470,2026-01-01 18:33:05,ATM1206,BANK07,ACC104689,WITHDRAWAL,1000,SUCCESS,0,0
TXN012311,2026-01-01 18:34:19,ATM1160,BANK06,ACC101014,WITHDRAWAL,2000,SUCCESS,0,0
TXN029055,2026-01-01 18:36:37,ATM1056,BANK06,ACC106607,WITHDRAWAL,500,SUCCESS,0,0
TXN021240,2026-01-01 18:37:02,ATM1455,BANK09,ACC105836,WITHDRAWAL,2000,SUCCESS,0,0
TXN023206,2026-01-01 18:44:17,ATM1018,BANK10,ACC102986,WITHDRAWAL,1000,SUCCESS,0,0
TXN012769,2026-01-01 18:53:20,ATM1199,BANK03,ACC100569,WITHDRAWAL,2000,SUCCESS,0,0
TXN021865,2026-01-01 18:53:56,ATM1273,BANK03,ACC105651,WITHDRAWAL,1500,SUCCESS,0,0
TXN027531,2026-01-01 18:56:02,ATM1019,BANK10,ACC101495,WITHDRAWAL,1000,SUCCESS,0,0
TXN025301,2026-01-01 18:57:21,ATM1451,BANK09,ACC107568,WITHDRAWAL,1000,SUCCESS,0,0
TXN006256,2026-01-01 18:58:36,ATM1304,BANK07,ACC101856,WITHDRAWAL,3000,SUCCESS,0,0
TXN016287,2026-01-01 19:06:33,ATM1199,BANK03,ACC103709,WITHDRAWAL,1000,SUCCESS,0,0
TXN025239,2026-01-01 19:09:42,ATM1493,BANK06,ACC102967,WITHDRAWAL,1000,SUCCESS,0,0
TXN027791,2026-01-01 19:22:34,ATM1351,BANK08,ACC102504,WITHDRAWAL,3000,SUCCESS,0,0
TXN004917,2026-01-01 19:28:19,ATM1469,BANK05,ACC106510,WITHDRAWAL,3000,SUCCESS,0,0
TXN027810,2026-01-01 19:28:25,ATM1265,BANK06,ACC100799,WITHDRAWAL,20000,FAILED_LIMIT_EXCEEDED,0,1
TXN019298,2026-01-01 19:28:43,ATM1067,BANK02,ACC104924,WITHDRAWAL,5000,SUCCESS,0,0
TXN029341,2026-01-01 19:30:05,ATM1352,BANK07,ACC105051,WITHDRAWAL,1000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN023483,2026-01-01 19:38:31,ATM1478,BANK05,ACC105097,WITHDRAWAL,4000,SUCCESS,0,0
TXN022220,2026-01-01 19:38:45,ATM1284,BANK10,ACC107508,WITHDRAWAL,10000,SUCCESS,1,1
TXN007085,2026-01-01 19:41:15,ATM1319,BANK01,ACC105852,WITHDRAWAL,500,SUCCESS,0,0
TXN029864,2026-01-01 19:42:01,ATM1350,BANK07,ACC104892,WITHDRAWAL,2000,SUCCESS,0,0
TXN004051,2026-01-01 19:47:46,ATM1326,BANK01,ACC100856,WITHDRAWAL,5000,SUCCESS,0,0
TXN000519,2026-01-01 19:47:46,ATM1284,BANK10,ACC105809,WITHDRAWAL,500,SUCCESS,0,0
TXN006516,2026-01-01 19:50:11,ATM1173,BANK09,ACC107677,WITHDRAWAL,500,SUCCESS,0,0
TXN022068,2026-01-01 20:03:27,ATM1152,BANK01,ACC101960,WITHDRAWAL,2000,SUCCESS,0,0
TXN014768,2026-01-01 20:09:51,ATM1240,BANK08,ACC104902,WITHDRAWAL,500,SUCCESS,0,0
TXN009333,2026-01-01 20:15:16,ATM1219,BANK07,ACC105320,WITHDRAWAL,2000,SUCCESS,0,0
TXN002969,2026-01-01 20:16:03,ATM1350,BANK07,ACC101805,WITHDRAWAL,4000,SUCCESS,1,0
TXN005619,2026-01-01 20:17:00,ATM1273,BANK03,ACC104405,WITHDRAWAL,1000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN004739,2026-01-01 20:22:36,ATM1113,BANK08,ACC101820,WITHDRAWAL,3000,SUCCESS,0,0
TXN025885,2026-01-01 20:23:02,ATM1138,BANK03,ACC103733,WITHDRAWAL,1500,SUCCESS,0,0
TXN025739,2026-01-01 20:31:42,ATM1322,BANK01,ACC103541,WITHDRAWAL,1000,SUCCESS,0,0
TXN019501,2026-01-01 20:34:54,ATM1240,BANK08,ACC100434,WITHDRAWAL,10000,SUCCESS,0,0
TXN028416,2026-01-01 20:36:21,ATM1405,BANK07,ACC104896,WITHDRAWAL,1000,SUCCESS,0,0
TXN010874,2026-01-01 20:38:24,ATM1275,BANK10,ACC106407,WITHDRAWAL,1000,SUCCESS,0,0
TXN011154,2026-01-01 20:39:08,ATM1071,BANK06,ACC107344,WITHDRAWAL,1000,SUCCESS,0,0
TXN015194,2026-01-01 20:41:03,ATM1260,BANK06,ACC103135,WITHDRAWAL,3000,SUCCESS,0,0
TXN006744,2026-01-01 20:42:50,ATM1047,BANK06,ACC100161,WITHDRAWAL,500,SUCCESS,0,0
TXN017464,2026-01-01 20:43:27,ATM1093,BANK03,ACC103877,WITHDRAWAL,4000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN014252,2026-01-01 20:44:32,ATM1488,BANK03,ACC103911,WITHDRAWAL,2000,SUCCESS,0,0
TXN004672,2026-01-01 20:48:30,ATM1028,BANK08,ACC103562,WITHDRAWAL,1000,SUCCESS,0,0
TXN001286,2026-01-01 20:51:41,ATM1339,BANK02,ACC102440,WITHDRAWAL,1000,SUCCESS,0,0
TXN006727,2026-01-01 20:56:04,ATM1134,BANK04,ACC102137,WITHDRAWAL,2000,SUCCESS,0,0
TXN009930,2026-01-01 21:00:19,ATM1472,BANK06,ACC105530,WITHDRAWAL,1500,SUCCESS,0,0
TXN011432,2026-01-01 21:00:37,ATM1494,BANK10,ACC104661,WITHDRAWAL,1000,SUCCESS,0,0
TXN003114,2026-01-01 21:02:37,ATM1321,BANK07,ACC100994,WITHDRAWAL,500,SUCCESS,0,0
TXN006990,2026-01-01 21:05:09,ATM1447,BANK08,ACC100072,WITHDRAWAL,1500,SUCCESS,0,0
TXN011856,2026-01-01 21:06:02,ATM1289,BANK04,ACC104024,WITHDRAWAL,4000,SUCCESS,0,0
TXN019722,2026-01-01 21:07:55,ATM1298,BANK07,ACC102850,WITHDRAWAL,5000,SUCCESS,0,0
TXN019367,2026-01-01 21:10:30,ATM1254,BANK04,ACC105797,WITHDRAWAL,500,SUCCESS,0,0
TXN003157,2026-01-01 21:10:41,ATM1430,BANK10,ACC101954,WITHDRAWAL,1000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN001914,2026-01-01 21:10:48,ATM1068,BANK09,ACC107013,WITHDRAWAL,500,SUCCESS,0,0
TXN026927,2026-01-01 21:11:47,ATM1220,BANK08,ACC104326,WITHDRAWAL,2000,SUCCESS,0,0
TXN000755,2026-01-01 21:13:21,ATM1423,BANK06,ACC104084,WITHDRAWAL,1000,SUCCESS,0,0
TXN007502,2026-01-01 21:13:39,ATM1366,BANK02,ACC100348,WITHDRAWAL,4000,SUCCESS,0,0
TXN007759,2026-01-01 21:15:12,ATM1412,BANK05,ACC107001,WITHDRAWAL,1000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN009212,2026-01-01 21:15:52,ATM1349,BANK10,ACC101710,WITHDRAWAL,1500,SUCCESS,0,0
TXN018416,2026-01-01 21:17:19,ATM1358,BANK03,ACC106621,WITHDRAWAL,1000,SUCCESS,1,0
TXN003821,2026-01-01 21:22:25,ATM1202,BANK07,ACC107253,WITHDRAWAL,2000,SUCCESS,0,0
TXN014615,2026-01-01 21:24:03,ATM1069,BANK01,ACC100360,WITHDRAWAL,1000,SUCCESS,0,0
TXN027613,2026-01-01 21:25:11,ATM1266,BANK03,ACC103946,WITHDRAWAL,1000,SUCCESS,0,0
TXN024932,2026-01-01 21:25:33,ATM1466,BANK07,ACC107100,WITHDRAWAL,5000,SUCCESS,0,0
TXN013513,2026-01-01 21:30:35,ATM1433,BANK10,ACC105639,WITHDRAWAL,500,SUCCESS,0,0
TXN012688,2026-01-01 21:31:43,ATM1135,BANK09,ACC102237,WITHDRAWAL,1500,SUCCESS,0,0
TXN024403,2026-01-01 21:31:50,ATM1444,BANK09,ACC100780,WITHDRAWAL,4000,SUCCESS,0,0
TXN007928,2026-01-01 21:33:50,ATM1186,BANK08,ACC_MULE_2148,WITHDRAWAL,15000,SUCCESS,2,1
TXN006474,2026-01-01 21:34:47,ATM1108,BANK02,ACC107942,WITHDRAWAL,2000,SUCCESS,0,0
TXN020310,2026-01-01 21:36:49,ATM1291,BANK09,ACC105021,WITHDRAWAL,3000,SUCCESS,0,0
TXN025759,2026-01-01 21:38:11,ATM1054,BANK09,ACC103900,WITHDRAWAL,2000,SUCCESS,0,0
TXN020179,2026-01-01 21:39:45,ATM1409,BANK08,ACC106943,WITHDRAWAL,4000,SUCCESS,0,0
TXN013250,2026-01-01 21:42:00,ATM1142,BANK02,ACC102992,WITHDRAWAL,10000,SUCCESS,1,0
TXN027272,2026-01-01 21:42:19,ATM1107,BANK08,ACC105985,WITHDRAWAL,1000,SUCCESS,0,0
TXN029458,2026-01-01 21:44:48,ATM1396,BANK06,ACC100607,WITHDRAWAL,1000,SUCCESS,0,0
TXN011283,2026-01-01 21:44:48,ATM1108,BANK02,ACC105569,WITHDRAWAL,500,SUCCESS,0,0
TXN001843,2026-01-01 21:46:34,ATM1016,BANK08,ACC102152,WITHDRAWAL,5000,SUCCESS,0,0
TXN005601,2026-01-01 21:46:36,ATM1467,BANK07,ACC106300,WITHDRAWAL,1500,SUCCESS,0,0
TXN025023,2026-01-01 21:47:24,ATM1131,BANK07,ACC106669,WITHDRAWAL,2000,SUCCESS,0,0
TXN009276,2026-01-01 21:49:36,ATM1284,BANK10,ACC_MULE_2096,WITHDRAWAL,25000,SUCCESS,1,1
TXN013579,2026-01-01 21:51:08,ATM1302,BANK10,ACC101849,WITHDRAWAL,1000,SUCCESS,0,0
TXN025876,2026-01-01 21:51:11,ATM1454,BANK02,ACC106229,WITHDRAWAL,5000,SUCCESS,0,0
TXN013163,2026-01-01 21:53:56,ATM1320,BANK05,ACC103335,WITHDRAWAL,500,SUCCESS,0,0
TXN022843,2026-01-01 21:57:32,ATM1489,BANK01,ACC101906,WITHDRAWAL,1000,SUCCESS,0,0
TXN021808,2026-01-01 22:00:47,ATM1370,BANK06,ACC101397,WITHDRAWAL,2000,SUCCESS,0,0
TXN017404,2026-01-01 22:01:50,ATM1465,BANK09,ACC105238,WITHDRAWAL,3000,SUCCESS,0,0
TXN007487,2026-01-01 22:03:50,ATM1368,BANK05,ACC105019,WITHDRAWAL,1000,SUCCESS,0,0
TXN023257,2026-01-01 22:04:39,ATM1179,BANK10,ACC103755,WITHDRAWAL,2000,SUCCESS,0,0
TXN005352,2026-01-01 22:05:39,ATM1361,BANK06,ACC106619,WITHDRAWAL,1500,SUCCESS,0,0
TXN016105,2026-01-01 22:15:12,ATM1415,BANK02,ACC105492,WITHDRAWAL,1000,SUCCESS,0,0
TXN005820,2026-01-01 22:19:32,ATM1309,BANK10,ACC100431,WITHDRAWAL,2000,SUCCESS,0,0
TXN008060,2026-01-01 22:21:04,ATM1250,BANK06,ACC100741,WITHDRAWAL,3000,SUCCESS,0,0
TXN009356,2026-01-01 22:21:06,ATM1365,BANK05,ACC100632,WITHDRAWAL,4000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN003099,2026-01-01 22:24:15,ATM1161,BANK02,ACC102081,WITHDRAWAL,5000,SUCCESS,0,0
TXN012483,2026-01-01 22:31:13,ATM1024,BANK06,ACC105623,WITHDRAWAL,4000,SUCCESS,0,0
TXN025725,2026-01-01 22:32:18,ATM1353,BANK03,ACC104254,WITHDRAWAL,2000,SUCCESS,0,0
TXN020729,2026-01-01 22:32:22,ATM1156,BANK04,ACC104575,WITHDRAWAL,2000,SUCCESS,0,0
TXN001506,2026-01-01 22:37:36,ATM1355,BANK06,ACC101503,WITHDRAWAL,5000,SUCCESS,0,0
TXN001369,2026-01-01 22:38:06,ATM1423,BANK06,ACC104361,WITHDRAWAL,500,SUCCESS,0,0
TXN008727,2026-01-01 22:40:34,ATM1335,BANK07,ACC106141,WITHDRAWAL,500,SUCCESS,0,0
TXN019657,2026-01-01 22:50:41,ATM1476,BANK10,ACC100012,WITHDRAWAL,1000,SUCCESS,0,0
TXN009500,2026-01-01 22:54:45,ATM1245,BANK10,ACC106893,WITHDRAWAL,10000,SUCCESS,0,0
TXN014135,2026-01-01 22:55:47,ATM1097,BANK09,ACC106949,WITHDRAWAL,4000,SUCCESS,0,0
TXN012686,2026-01-01 22:58:05,ATM1366,BANK02,ACC103906,WITHDRAWAL,2000,SUCCESS,1,0
TXN025260,2026-01-01 22:58:51,ATM1168,BANK05,ACC102479,WITHDRAWAL,2000,SUCCESS,0,0
TXN028686,2026-01-01 23:00:18,ATM1110,BANK09,ACC101492,WITHDRAWAL,4000,SUCCESS,0,0
TXN000394,2026-01-01 23:01:49,ATM1338,BANK09,ACC101102,WITHDRAWAL,3000,FAILED_INSUFFICIENT_FUNDS,0,0
TXN016955,2026-01-01 23:03:28,ATM1322,BANK01,ACC105576,WITHDRAWAL,1000,SUCCESS,0,0
TXN006959,2026-01-01 23:06:09,ATM1266,BANK03,ACC102744,WITHDRAWAL,4000,SUCCESS,0,0
TXN017509,2026-01-01 23:06:59,ATM1300,BANK03,ACC102176,WITHDRAWAL,1000,SUCCESS,0,0
TXN011534,2026-01-01 23:07:17,ATM1204,BANK10,ACC100876,WITHDRAWAL,2000,SUCCESS,0,0
TXN015525,2026-01-01 23:09:51,ATM1038,BANK10,ACC101156,WITHDRAWAL,1000,SUCCESS,0,0
TXN000044,2026-01-01 23:10:03,ATM1217,BANK06,ACC100876,WITHDRAWAL,1000,SUCCESS,0,0
TXN000884,2026-01-01 23:14:49,ATM1138,BANK03,ACC101473,WITHDRAWAL,500,SUCCESS,0,0
TXN000450,2026-01-01 23:16:19,ATM1426,BANK04,ACC105515,WITHDRAWAL,3000,SUCCESS,0,0
TXN002495,2026-01-01 23:18:19,ATM1479,BANK05,ACC107740,WITHDRAWAL,500,SUCCESS,0,0
TXN001823,2026-01-01 23:20:22,ATM1231,BANK05,ACC105732,WITHDRAWAL,500,SUCCESS,0,0
TXN014258,2026-01-01 23:26:39,ATM1243,BANK05,ACC104785,WITHDRAWAL,2000,SUCCESS,0,0
TXN016451,2026-01-01 23:28:08,ATM1265,BANK06,ACC107490,WITHDRAWAL,1000,SUCCESS,0,0
TXN002156,2026-01-01 23:29:43,ATM1435,BANK05,ACC104406,WITHDRAWAL,500,SUCCESS,0,0
TXN003917,2026-01-01 23:33:02,ATM1034,BANK07,ACC107453,WITHDRAWAL,1000,SUCCESS,0,0
TXN016216,2026-01-01 23:41:31,ATM1425,BANK06,ACC105978,WITHDRAWAL,2000,SUCCESS,0,0
TXN002919,2026-01-01 23:42:08,ATM1037,BANK05,ACC102178,WITHDRAWAL,5000,SUCCESS,0,0
TXN002276,2026-01-01 23:42:17,ATM1128,BANK02,ACC106280,WITHDRAWAL,5000,SUCCESS,0,0
TXN005604,2026-01-01 23:42:21,ATM1421,BANK01,ACC106387,WITHDRAWAL,1000,SUCCESS,0,0
TXN001982,2026-01-01 23:42:29,ATM1495,BANK05,ACC100435,WITHDRAWAL,3000,SUCCESS,0,0
TXN004391,2026-01-01 23:43:07,ATM1381,BANK05,ACC105326,WITHDRAWAL,2000,SUCCESS,1,0
TXN019233,2026-01-01 23:53:20,ATM1298,BANK07,ACC104859,WITHDRAWAL,3000,SUCCESS,0,0
TXN024633,2026-01-01 23:57:10,ATM1420,BANK07,ACC107110,WITHDRAWAL,5000,SUCCESS,0,0
TXN013124,2026-01-02 00:05:26,ATM1331,BANK09,ACC102136,WITHDRAWAL,1500,SUCCESS,0,0
TXN001620,2026-01-02 00:08:50,ATM1327,BANK03,ACC104907,WITHDRAWAL,2000,SUCCESS,0,0
TXN027175,2026-01-02 00:11:16,ATM1027,BANK09,ACC107914,WITHDRAWAL,1000,SUCCESS,0,0
TXN019267,2026-01-02 00:13:49,ATM1184,BANK09,ACC101509,WITHDRAWAL,500,SUCCESS,0,0
TXN028528,2026-01-02 00:15:39,ATM1103,BANK10,ACC104330,WITHDRAWAL,3000,SUCCESS,0,0
TXN005875,2026-01-02 00:20:01,ATM1465,BANK09,ACC104501,WITHDRAWAL,5000,SUCCESS,0,0
TXN002433,2026-01-02 00:20:37,ATM1469,BANK05,ACC107747,WITHDRAWAL,1500,SUCCESS,0,0
