complaint_id,timestamp,atm_id,bank_id,account_id,category,amount_disputed,is_verified_fraud,status
CMP007564,2026-01-01 05:48:20,ATM1403,BANK07,ACC408644,Unauthorized ATM Cash Withdrawal,1000,1,REGISTERED
CMP009041,2026-01-01 05:50:24,ATM1405,BANK07,ACC498766,PIN Shoulder Surfing & Theft,3000,1,CLOSED
CMP003871,2026-01-01 05:58:05,ATM1316,BANK02,ACC494553,Unauthorized ATM Cash Withdrawal,1000,0,UNDER_INVESTIGATION
CMP004358,2026-01-01 06:24:59,ATM1177,BANK04,ACC665673,ATM Cash Dispense Failure / Trapping,1000,1,CLOSED
CMP006771,2026-01-01 06:29:00,ATM1385,BANK05,ACC919061,Unauthorized ATM Cash Withdrawal,2000,0,CLOSED
CMP001731,2026-01-01 06:30:14,ATM1142,BANK02,ACC485471,Unauthorized ATM Cash Withdrawal,15000,0,REGISTERED
CMP002280,2026-01-01 06:43:59,ATM1156,BANK04,ACC291260,Unauthorized ATM Cash Withdrawal,5000,1,CLOSED
CMP007383,2026-01-01 06:58:01,ATM1074,BANK10,ACC419573,Unauthorized ATM Cash Withdrawal,20000,0,CLOSED
CMP003526,2026-01-01 06:59:31,ATM1343,BANK10,ACC386532,ATM Cash Dispense Failure / Trapping,10000,1,REGISTERED
CMP001132,2026-01-01 07:12:20,ATM1228,BANK06,ACC_MULE_2142,Unauthorized ATM Cash Withdrawal,20000,1,REGISTERED
CMP004415,2026-01-01 07:12:37,ATM1027,BANK09,ACC223323,Unauthorized ATM Cash Withdrawal,1000,1,CLOSED
CMP007042,2026-01-01 07:17:26,ATM1395,BANK03,ACC883374,Unauthorized ATM Cash Withdrawal,2000,0,UNDER_INVESTIGATION
CMP006204,2026-01-01 07:18:32,ATM1321,BANK07,ACC280442,Card Skimming / Clone Fraud,3000,0,UNDER_INVESTIGATION
CMP007466,2026-01-01 07:24:12,ATM1113,BANK08,ACC630390,Unauthorized ATM Cash Withdrawal,3000,0,REGISTERED
CMP005339,2026-01-01 07:24:22,ATM1242,BANK03,ACC478695,Card Skimming / Clone Fraud,2000,0,CLOSED
CMP004831,2026-01-01 07:40:50,ATM1488,BANK03,ACC189688,Unauthorized ATM Cash Withdrawal,15000,0,UNDER_INVESTIGATION
CMP008367,2026-01-01 07:47:15,ATM1316,BANK02,ACC403271,Card Skimming / Clone Fraud,15000,1,UNDER_INVESTIGATION
CMP008004,2026-01-01 07:50:05,ATM1307,BANK06,ACC884240,PIN Shoulder Surfing & Theft,3000,1,UNDER_INVESTIGATION
CMP003155,2026-01-01 07:59:01,ATM1012,BANK04,ACC818908,Phishing & OTP Coerced Cash-out,5000,1,CLOSED
CMP005610,2026-01-01 08:21:43,ATM1115,BANK09,ACC787124,Unauthorized ATM Cash Withdrawal,2000,0,UNDER_INVESTIGATION
CMP005830,2026-01-01 08:32:13,ATM1420,BANK07,ACC978316,PIN Shoulder Surfing & Theft,1000,1,CLOSED
CMP002126,2026-01-01 08:33:43,ATM1102,BANK10,ACC863220,Card Skimming / Clone Fraud,15000,0,CLOSED
CMP006981,2026-01-01 08:43:40,ATM1491,BANK10,ACC842634,Unauthorized ATM Cash Withdrawal,15000,1,UNDER_INVESTIGATION
CMP003710,2026-01-01 08:46:51,ATM1319,BANK01,ACC183057,Unauthorized ATM Cash Withdrawal,15000,1,CLOSED
CMP007374,2026-01-01 08:54:02,ATM1470,BANK09,ACC871574,Card Skimming / Clone Fraud,10000,0,REGISTERED
CMP006096,2026-01-01 08:59:56,ATM1019,BANK10,ACC775653,Unauthorized ATM Cash Withdrawal,20000,1,CLOSED
CMP003755,2026-01-01 09:01:58,ATM1260,BANK06,ACC322155,PIN Shoulder Surfing & Theft,3000,1,REGISTERED
CMP005715,2026-01-01 09:14:57,ATM1060,BANK09,ACC199645,Card Skimming / Clone Fraud,20000,0,REGISTERED
CMP009252,2026-01-01 09:16:33,ATM1326,BANK01,ACC467074,Unauthorized ATM Cash Withdrawal,15000,0,CLOSED
CMP009328,2026-01-01 09:22:37,ATM1127,BANK07,ACC220923,Card Skimming / Clone Fraud,2000,0,CLOSED
CMP003494,2026-01-01 09:42:48,ATM1373,BANK10,ACC156349,Unauthorized ATM Cash Withdrawal,3000,1,CLOSED
CMP009033,2026-01-01 09:43:45,ATM1126,BANK03,ACC694690,ATM Cash Dispense Failure / Trapping,20000,0,REGISTERED
CMP009258,2026-01-01 09:45:14,ATM1138,BANK03,ACC980899,Card Skimming / Clone Fraud,1000,1,REGISTERED
CMP003267,2026-01-01 09:48:39,ATM1201,BANK08,ACC652286,Unauthorized ATM Cash Withdrawal,10000,1,CLOSED
CMP004520,2026-01-01 09:52:11,ATM1228,BANK06,ACC167450,Unauthorized ATM Cash Withdrawal,2000,1,CLOSED
CMP003120,2026-01-01 09:57:01,ATM1222,BANK04,ACC240479,Unauthorized ATM Cash Withdrawal,2000,0,REGISTERED
CMP004285,2026-01-01 10:00:22,ATM1359,BANK05,ACC393545,Unauthorized ATM Cash Withdrawal,10000,0,UNDER_INVESTIGATION
CMP003068,2026-01-01 10:11:46,ATM1055,BANK06,ACC296440,Unauthorized ATM Cash Withdrawal,2000,1,UNDER_INVESTIGATION
CMP009179,2026-01-01 10:23:01,ATM1303,BANK02,ACC434638,ATM Cash Dispense Failure / Trapping,2000,0,UNDER_INVESTIGATION
CMP005995,2026-01-01 10:38:05,ATM1466,BANK07,ACC780674,Card Skimming / Clone Fraud,20000,1,REGISTERED
CMP003180,2026-01-01 10:45:17,ATM1192,BANK08,ACC574996,Unauthorized ATM Cash Withdrawal,20000,0,REGISTERED
CMP003017,2026-01-01 11:07:56,ATM1073,BANK09,ACC112095,Card Skimming / Clone Fraud,1000,0,CLOSED
CMP003196,2026-01-01 11:08:27,ATM1007,BANK04,ACC577831,Card Skimming / Clone Fraud,10000,0,UNDER_INVESTIGATION
CMP001803,2026-01-01 11:11:13,ATM1183,BANK03,ACC857690,Unauthorized ATM Cash Withdrawal,1000,1,REGISTERED
CMP004876,2026-01-01 11:32:31,ATM1140,BANK07,ACC872060,ATM Cash Dispense Failure / Trapping,20000,1,UNDER_INVESTIGATION
CMP009944,2026-01-01 11:43:24,ATM1274,BANK08,ACC127907,ATM Cash Dispense Failure / Trapping,1000,0,UNDER_INVESTIGATION
CMP008460,2026-01-01 11:48:53,ATM1123,BANK01,ACC501196,Card Skimming / Clone Fraud,1000,0,REGISTERED
CMP004211,2026-01-01 11:53:32,ATM1316,BANK02,ACC691629,Phishing & OTP Coerced Cash-out,2000,0,UNDER_INVESTIGATION
CMP009699,2026-01-01 12:16:10,ATM1279,BANK08,ACC364144,ATM Cash Dispense Failure / Trapping,20000,1,REGISTERED
CMP003719,2026-01-01 12:17:42,ATM1015,BANK05,ACC477201,Unauthorized ATM Cash Withdrawal,2000,0,REGISTERED
CMP009345,2026-01-01 12:33:23,ATM1186,BANK08,ACC773399,Unauthorized ATM Cash Withdrawal,15000,1,CLOSED
CMP002021,2026-01-01 12:57:55,ATM1038,BANK10,ACC576196,Unauthorized ATM Cash Withdrawal,5000,0,CLOSED
CMP006636,2026-01-01 12:59:07,ATM1225,BANK03,ACC471666,Unauthorized ATM Cash Withdrawal,5000,0,REGISTERED
CMP009025,2026-01-01 13:12:52,ATM1021,BANK05,ACC559719,PIN Shoulder Surfing & Theft,20000,1,CLOSED
CMP003777,2026-01-01 13:17:19,ATM1293,BANK08,ACC549634,Card Skimming / Clone Fraud,3000,0,UNDER_INVESTIGATION
CMP007105,2026-01-01 13:31:13,ATM1085,BANK09,ACC314981,Unauthorized ATM Cash Withdrawal,3000,1,REGISTERED
CMP002248,2026-01-01 13:46:31,ATM1443,BANK01,ACC626855,Unauthorized ATM Cash Withdrawal,2000,1,REGISTERED
CMP005152,2026-01-01 13:59:12,ATM1231,BANK05,ACC176586,Unauthorized ATM Cash Withdrawal,1000,0,UNDER_INVESTIGATION
CMP007694,2026-01-01 14:05:16,ATM1145,BANK04,ACC719676,Unauthorized ATM Cash Withdrawal,3000,1,CLOSED
CMP003127,2026-01-01 14:06:12,ATM1470,BANK09,ACC671989,Unauthorized ATM Cash Withdrawal,5000,1,REGISTERED
CMP007166,2026-01-01 14:14:22,ATM1191,BANK08,ACC217543,Card Skimming / Clone Fraud,5000,0,UNDER_INVESTIGATION
CMP000300,2026-01-01 14:51:11,ATM1070,BANK01,ACC_MULE_2079,Unauthorized ATM Cash Withdrawal,8000,1,RESOLVED
CMP006612,2026-01-01 15:05:14,ATM1253,BANK05,ACC658901,PIN Shoulder Surfing & Theft,1000,0,CLOSED
CMP007058,2026-01-01 15:15:50,ATM1500,BANK07,ACC884923,Phishing & OTP Coerced Cash-out,20000,0,CLOSED
CMP009557,2026-01-01 15:31:29,ATM1447,BANK08,ACC273990,Unauthorized ATM Cash Withdrawal,5000,0,UNDER_INVESTIGATION
CMP004938,2026-01-01 15:42:41,ATM1003,BANK02,ACC200530,Unauthorized ATM Cash Withdrawal,3000,1,UNDER_INVESTIGATION
CMP002412,2026-01-01 15:48:13,ATM1265,BANK06,ACC216091,Phishing & OTP Coerced Cash-out,10000,1,REGISTERED
CMP001105,2026-01-01 16:05:11,ATM1105,BANK06,ACC100908,Card Skimming / Clone Fraud,8000,1,REGISTERED
CMP000472,2026-01-01 16:21:33,ATM1152,BANK01,ACC_MULE_2035,Unauthorized ATM Cash Withdrawal,8000,1,REGISTERED
CMP001454,2026-01-01 16:30:52,ATM1295,BANK08,ACC104094,Unauthorized ATM Cash Withdrawal,15000,1,RESOLVED
CMP004569,2026-01-01 16:39:28,ATM1355,BANK06,ACC101920,Unauthorized ATM Cash Withdrawal,10000,0,UNDER_INVESTIGATION
CMP009725,2026-01-01 16:57:07,ATM1154,BANK07,ACC457377,Unauthorized ATM Cash Withdrawal,5000,1,CLOSED
CMP005083,2026-01-01 17:16:07,ATM1117,BANK02,ACC243710,Card Skimming / Clone Fraud,3000,1,CLOSED
CMP009092,2026-01-01 17:18:06,ATM1430,BANK10,ACC903948,ATM Cash Dispense Failure / Trapping,15000,0,REGISTERED
CMP002875,2026-01-01 17:20:30,ATM1302,BANK10,ACC321560,Card Skimming / Clone Fraud,2000,0,UNDER_INVESTIGATION
CMP005144,2026-01-01 17:29:00,ATM1398,BANK06,ACC170178,Card Skimming / Clone Fraud,1000,0,CLOSED
CMP004908,2026-01-01 17:38:43,ATM1410,BANK06,ACC381225,Unauthorized ATM Cash Withdrawal,1000,1,CLOSED
CMP009848,2026-01-01 17:41:10,ATM1206,BANK07,ACC249833,Phishing & OTP Coerced Cash-out,2000,0,CLOSED
CMP005996,2026-01-01 18:14:17,ATM1467,BANK07,ACC944807,Unauthorized ATM Cash Withdrawal,10000,0,REGISTERED
CMP002025,2026-01-01 18:18:47,ATM1368,BANK05,ACC153845,ATM Cash Dispense Failure / Trapping,15000,0,UNDER_INVESTIGATION
CMP008191,2026-01-01 18:29:24,ATM1432,BANK04,ACC836912,Unauthorized ATM Cash Withdrawal,15000,1,CLOSED
CMP000308,2026-01-01 18:29:50,ATM1352,BANK07,ACC_MULE_2128,ATM Cash Dispense Failure / Trapping,20000,1,UNDER_INVESTIGATION
CMP006319,2026-01-01 18:30:26,ATM1211,BANK08,ACC481334,PIN Shoulder Surfing & Theft,1000,0,CLOSED
CMP001512,2026-01-01 18:34:11,ATM1105,BANK06,ACC100908,Unauthorized ATM Cash Withdrawal,8000,1,UNDER_INVESTIGATION
CMP002014,2026-01-01 18:56:37,ATM1319,BANK01,ACC123858,Unauthorized ATM Cash Withdrawal,1000,0,UNDER_INVESTIGATION
CMP008899,2026-01-01 19:05:04,ATM1462,BANK02,ACC161528,ATM Cash Dispense Failure / Trapping,5000,1,CLOSED
CMP003467,2026-01-01 19:22:41,ATM1054,BANK09,ACC841087,Unauthorized ATM Cash Withdrawal,1000,0,REGISTERED
CMP006846,2026-01-01 19:23:01,ATM1482,BANK03,ACC899187,Unauthorized ATM Cash Withdrawal,20000,0,CLOSED
CMP002057,2026-01-01 19:29:03,ATM1387,BANK01,ACC135859,Unauthorized ATM Cash Withdrawal,2000,1,CLOSED
CMP003100,2026-01-01 19:31:48,ATM1384,BANK10,ACC494841,Unauthorized ATM Cash Withdrawal,3000,0,UNDER_INVESTIGATION
CMP003222,2026-01-01 19:41:39,ATM1049,BANK05,ACC984358,Phishing & OTP Coerced Cash-out,1000,0,CLOSED
CMP004284,2026-01-01 19:46:51,ATM1323,BANK08,ACC383333,Unauthorized ATM Cash Withdrawal,5000,1,CLOSED
CMP006517,2026-01-01 20:18:53,ATM1378,BANK05,ACC862729,ATM Cash Dispense Failure / Trapping,3000,1,CLOSED
CMP008016,2026-01-01 20:19:23,ATM1264,BANK04,ACC492688,Unauthorized ATM Cash Withdrawal,3000,0,REGISTERED
CMP001183,2026-01-01 20:21:32,ATM1152,BANK01,ACC_MULE_2035,Phishing & OTP Coerced Cash-out,8000,1,UNDER_INVESTIGATION
CMP005336,2026-01-01 20:28:36,ATM1219,BANK07,ACC683008,ATM Cash Dispense Failure / Trapping,10000,0,REGISTERED
CMP005025,2026-01-01 20:56:42,ATM1006,BANK09,ACC547353,Phishing & OTP Coerced Cash-out,10000,0,UNDER_INVESTIGATION
CMP007048,2026-01-01 20:56:44,ATM1306,BANK10,ACC677780,Unauthorized ATM Cash Withdrawal,2000,0,REGISTERED
CMP007184,2026-01-01 21:02:00,ATM1325,BANK08,ACC405805,Unauthorized ATM Cash Withdrawal,3000,1,REGISTERED
CMP007676,2026-01-01 21:11:51,ATM1008,BANK09,ACC533662,PIN Shoulder Surfing & Theft,3000,1,CLOSED
CMP002789,2026-01-01 21:14:59,ATM1078,BANK01,ACC783701,Unauthorized ATM Cash Withdrawal,2000,1,REGISTERED
CMP002447,2026-01-01 21:35:57,ATM1420,BANK07,ACC500481,Unauthorized ATM Cash Withdrawal,1000,0,REGISTERED
CMP008539,2026-01-01 21:38:15,ATM1495,BANK05,ACC267496,Unauthorized ATM Cash Withdrawal,20000,0,UNDER_INVESTIGATION
CMP008920,2026-01-01 21:40:18,ATM1472,BANK06,ACC801906,Unauthorized ATM Cash Withdrawal,1000,1,REGISTERED
CMP008224,2026-01-01 21:47:49,ATM1320,BANK05,ACC741352,ATM Cash Dispense Failure / Trapping,1000,0,CLOSED
CMP008088,2026-01-01 22:05:47,ATM1460,BANK05,ACC796675,Unauthorized ATM Cash Withdrawal,1000,1,CLOSED
CMP005458,2026-01-01 22:21:25,ATM1017,BANK02,ACC909187,PIN Shoulder Surfing & Theft,5000,0,REGISTERED
CMP006557,2026-01-01 22:21:35,ATM1263,BANK08,ACC206969,Unauthorized ATM Cash Withdrawal,3000,0,UNDER_INVESTIGATION
CMP006818,2026-01-01 22:35:06,ATM1399,BANK03,ACC814696,Card Skimming / Clone Fraud,20000,0,CLOSED
CMP006524,2026-01-01 22:44:07,ATM1339,BANK02,ACC592242,Phishing & OTP Coerced Cash-out,3000,0,UNDER_INVESTIGATION
CMP004249,2026-01-01 22:46:43,ATM1102,BANK10,ACC421364,ATM Cash Dispense Failure / Trapping,2000,0,UNDER_INVESTIGATION
CMP002821,2026-01-01 22:49:45,ATM1328,BANK08,ACC412601,Unauthorized ATM Cash Withdrawal,15000,0,CLOSED
CMP001564,2026-01-01 23:03:18,ATM1404,BANK09,ACC107428,Card Skimming / Clone Fraud,8000,1,REGISTERED
CMP005915,2026-01-01 23:05:56,ATM1248,BANK08,ACC393994,ATM Cash Dispense Failure / Trapping,1000,0,CLOSED
CMP004043,2026-01-01 23:21:13,ATM1328,BANK08,ACC394690,Unauthorized ATM Cash Withdrawal,1000,0,REGISTERED
CMP003242,2026-01-01 23:29:17,ATM1136,BANK10,ACC377278,PIN Shoulder Surfing & Theft,10000,1,UNDER_INVESTIGATION
CMP001101,2026-01-01 23:38:44,ATM1142,BANK02,ACC_MULE_2036,Card Skimming / Clone Fraud,10000,1,UNDER_INVESTIGATION
CMP006878,2026-01-01 23:41:09,ATM1072,BANK05,ACC128076,ATM Cash Dispense Failure / Trapping,15000,0,UNDER_INVESTIGATION
CMP008976,2026-01-01 23:47:16,ATM1290,BANK02,ACC880104,PIN Shoulder Surfing & Theft,10000,1,REGISTERED
CMP008588,2026-01-01 23:52:47,ATM1076,BANK02,ACC189301,Unauthorized ATM Cash Withdrawal,2000,0,UNDER_INVESTIGATION
CMP005710,2026-01-01 23:57:11,ATM1303,BANK02,ACC973628,Unauthorized ATM Cash Withdrawal,1000,1,CLOSED
CMP009436,2026-01-02 00:01:15,ATM1356,BANK08,ACC826281,Unauthorized ATM Cash Withdrawal,15000,1,CLOSED
CMP008143,2026-01-02 00:05:15,ATM1196,BANK05,ACC134173,Unauthorized ATM Cash Withdrawal,3000,1,UNDER_INVESTIGATION
CMP006670,2026-01-02 00:10:30,ATM1481,BANK10,ACC923855,Card Skimming / Clone Fraud,1000,1,UNDER_INVESTIGATION
CMP005268,2026-01-02 00:14:02,ATM1472,BANK06,ACC414019,Card Skimming / Clone Fraud,10000,1,REGISTERED
CMP009078,2026-01-02 00:19:15,ATM1219,BANK07,ACC767984,Card Skimming / Clone Fraud,10000,0,UNDER_INVESTIGATION
CMP001265,2026-01-02 00:44:14,ATM1404,BANK09,ACC107428,Unauthorized ATM Cash Withdrawal,8000,1,RESOLVED
CMP002573,2026-01-02 00:52:52,ATM1259,BANK04,ACC477612,Phishing & OTP Coerced Cash-out,15000,1,REGISTERED
CMP001908,2026-01-02 00:54:20,ATM1253,BANK05,ACC715433,Unauthorized ATM Cash Withdrawal,15000,0,CLOSED
CMP004590,2026-01-02 01:10:56,ATM1189,BANK10,ACC283175,Phishing & OTP Coerced Cash-out,2000,0,CLOSED
CMP000237,2026-01-02 01:17:03,ATM1070,BANK01,ACC_MULE_2079,Unauthorized ATM Cash Withdrawal,8000,1,RESOLVED
CMP007465,2026-01-02 01:22:48,ATM1389,BANK04,ACC813802,Card Skimming / Clone Fraud,1000,0,UNDER_INVESTIGATION
CMP002871,2026-01-02 01:29:50,ATM1310,BANK05,ACC317001,Phishing & OTP Coerced Cash-out,2000,0,UNDER_INVESTIGATION
CMP003145,2026-01-02 01:43:37,ATM1222,BANK04,ACC603768,Phishing & OTP Coerced Cash-out,20000,0,CLOSED
CMP001249,2026-01-02 01:51:10,ATM1186,BANK08,ACC_MULE_2148,Unauthorized ATM Cash Withdrawal,15000,1,REGISTERED
CMP005655,2026-01-02 01:54:18,ATM1049,BANK05,ACC692177,Card Skimming / Clone Fraud,2000,0,UNDER_INVESTIGATION
CMP003956,2026-01-02 01:57:15,ATM1318,BANK07,ACC901394,Unauthorized ATM Cash Withdrawal,15000,0,REGISTERED
CMP001143,2026-01-02 02:06:38,ATM1009,BANK10,ACC_MULE_2025,Unauthorized ATM Cash Withdrawal,8000,1,REGISTERED
CMP009064,2026-01-02 02:20:28,ATM1124,BANK05,ACC732982,ATM Cash Dispense Failure / Trapping,20000,1,CLOSED
CMP001831,2026-01-02 02:36:01,ATM1160,BANK06,ACC391658,Unauthorized ATM Cash Withdrawal,15000,0,UNDER_INVESTIGATION
CMP004695,2026-01-02 02:46:19,ATM1147,BANK02,ACC539975,Unauthorized ATM Cash Withdrawal,10000,0,CLOSED
CMP006017,2026-01-02 02:48:59,ATM1165,BANK07,ACC513072,Card Skimming / Clone Fraud,20000,0,UNDER_INVESTIGATION
CMP005855,2026-01-02 02:50:33,ATM1050,BANK03,ACC985838,Unauthorized ATM Cash Withdrawal,10000,0,UNDER_INVESTIGATION
CMP003524,2026-01-02 02:53:44,ATM1188,BANK06,ACC469787,PIN Shoulder Surfing & Theft,3000,0,CLOSED
CMP007045,2026-01-02 03:01:38,ATM1094,BANK01,ACC329273,Card Skimming / Clone Fraud,3000,0,CLOSED
CMP003492,2026-01-02 03:04:47,ATM1215,BANK08,ACC217038,Unauthorized ATM Cash Withdrawal,5000,1,CLOSED
CMP006653,2026-01-02 03:13:39,ATM1400,BANK08,ACC843871,PIN Shoulder Surfing & Theft,20000,0,UNDER_INVESTIGATION
CMP002140,2026-01-02 03:15:04,ATM1030,BANK01,ACC645981,Phishing & OTP Coerced Cash-out,5000,1,UNDER_INVESTIGATION
CMP006752,2026-01-02 03:16:24,ATM1443,BANK01,ACC949629,Unauthorized ATM Cash Withdrawal,10000,1,UNDER_INVESTIGATION
CMP006763,2026-01-02 03:18:01,ATM1191,BANK08,ACC506238,Unauthorized ATM Cash Withdrawal,1000,1,UNDER_INVESTIGATION
CMP005399,2026-01-02 03:23:40,ATM1500,BANK07,ACC130037,Card Skimming / Clone Fraud,2000,1,REGISTERED
CMP001393,2026-01-02 03:27:57,ATM1184,BANK09,ACC_MULE_2140,Unauthorized ATM Cash Withdrawal,8000,1,RESOLVED
CMP008420,2026-01-02 03:35:09,ATM1358,BANK03,ACC537783,Unauthorized ATM Cash Withdrawal,3000,0,UNDER_INVESTIGATION
CMP007196,2026-01-02 03:41:43,ATM1020,BANK01,ACC668492,Card Skimming / Clone Fraud,10000,0,CLOSED
CMP003126,2026-01-02 03:44:30,ATM1281,BANK10,ACC534139,Phishing & OTP Coerced Cash-out,15000,0,REGISTERED
CMP001626,2026-01-02 03:48:05,ATM1408,BANK06,ACC103307,Unauthorized ATM Cash Withdrawal,20000,1,REGISTERED
CMP006711,2026-01-02 04:28:13,ATM1250,BANK06,ACC740475,ATM Cash Dispense Failure / Trapping,3000,1,REGISTERED
CMP008663,2026-01-02 04:32:12,ATM1339,BANK02,ACC912890,Unauthorized ATM Cash Withdrawal,20000,0,REGISTERED
CMP005416,2026-01-02 04:32:46,ATM1280,BANK01,ACC371460,PIN Shoulder Surfing & Theft,5000,1,CLOSED
CMP005035,2026-01-02 04:38:02,ATM1311,BANK03,ACC458792,Unauthorized ATM Cash Withdrawal,10000,0,REGISTERED
CMP008935,2026-01-02 04:43:51,ATM1333,BANK03,ACC119657,Card Skimming / Clone Fraud,5000,1,UNDER_INVESTIGATION
CMP005323,2026-01-02 04:47:47,ATM1464,BANK01,ACC450911,Card Skimming / Clone Fraud,20000,1,CLOSED
CMP007607,2026-01-02 04:50:48,ATM1207,BANK09,ACC386588,Unauthorized ATM Cash Withdrawal,2000,0,REGISTERED
CMP005826,2026-01-02 04:51:43,ATM1002,BANK04,ACC112742,Unauthorized ATM Cash Withdrawal,5000,1,UNDER_INVESTIGATION
CMP002700,2026-01-02 04:57:52,ATM1009,BANK10,ACC315571,Unauthorized ATM Cash Withdrawal,15000,0,REGISTERED
CMP002115,2026-01-02 04:57:52,ATM1217,BANK06,ACC794140,Card Skimming / Clone Fraud,10000,0,CLOSED
CMP006918,2026-01-02 05:07:49,ATM1129,BANK03,ACC759575,Card Skimming / Clone Fraud,15000,0,CLOSED
CMP008478,2026-01-02 05:17:48,ATM1439,BANK07,ACC238912,ATM Cash Dispense Failure / Trapping,15000,0,REGISTERED
CMP000438,2026-01-02 05:18:53,ATM1376,BANK05,ACC105284,Card Skimming / Clone Fraud,15000,1,REGISTERED
CMP001271,2026-01-02 05:19:52,ATM1284,BANK10,ACC_MULE_2128,Unauthorized ATM Cash Withdrawal,25000,1,REGISTERED
CMP006311,2026-01-02 05:27:41,ATM1429,BANK06,ACC431147,Unauthorized ATM Cash Withdrawal,3000,0,UNDER_INVESTIGATION
CMP006762,2026-01-02 05:29:00,ATM1060,BANK09,ACC642170,Card Skimming / Clone Fraud,2000,1,REGISTERED
CMP000114,2026-01-02 05:36:58,ATM1186,BANK08,ACC_MULE_2148,Unauthorized ATM Cash Withdrawal,15000,1,UNDER_INVESTIGATION
CMP009819,2026-01-02 05:55:12,ATM1003,BANK02,ACC454992,Phishing & OTP Coerced Cash-out,2000,0,CLOSED
CMP007578,2026-01-02 06:24:50,ATM1378,BANK05,ACC981603,ATM Cash Dispense Failure / Trapping,20000,1,CLOSED
CMP004406,2026-01-02 06:46:05,ATM1417,BANK09,ACC234549,Unauthorized ATM Cash Withdrawal,20000,0,REGISTERED
CMP003276,2026-01-02 06:47:12,ATM1192,BANK08,ACC772122,ATM Cash Dispense Failure / Trapping,20000,1,CLOSED
CMP000381,2026-01-02 06:50:19,ATM1012,BANK04,ACC100320,Unauthorized ATM Cash Withdrawal,8000,1,UNDER_INVESTIGATION
CMP009375,2026-01-02 06:56:27,ATM1373,BANK10,ACC799314,ATM Cash Dispense Failure / Trapping,10000,1,CLOSED
CMP000547,2026-01-02 07:09:21,ATM1284,BANK10,ACC_MULE_2128,Unauthorized ATM Cash Withdrawal,25000,1,UNDER_INVESTIGATION
CMP005827,2026-01-02 07:11:24,ATM1325,BANK08,ACC892389,ATM Cash Dispense Failure / Trapping,10000,1,REGISTERED
CMP000062,2026-01-02 07:18:09,ATM1284,BANK10,ACC107508,ATM Cash Dispense Failure / Trapping,10000,1,REGISTERED
CMP007605,2026-01-02 07:26:39,ATM1142,BANK02,ACC581498,Unauthorized ATM Cash Withdrawal,20000,1,CLOSED
CMP000827,2026-01-02 07:37:47,ATM1009,BANK10,ACC_MULE_2025,Unauthorized ATM Cash Withdrawal,8000,1,REGISTERED
