complaint_id,complaint_number,reported_at,crime_category,fraud_amount,state,district,police_station,latitude,longitude,status,timestamp,category
COMP001707,CMP-2026-001707,2026-01-01 08:05:13,ONLINE_BANKING_FRAUD,45000.0,Uttar Pradesh,Jhansi,Sadar PS,25.42919,78.542323,REGISTERED,2026-01-01 08:05:13,ONLINE_BANKING_FRAUD
COMP008801,CMP-2026-008801,2026-01-01 08:56:52,ONLINE_BANKING_FRAUD,30000.0,Uttar Pradesh,Lucknow,Hazratganj PS,26.85029,80.950498,REGISTERED,2026-01-01 08:56:52,ONLINE_BANKING_FRAUD
COMP007989,CMP-2026-007989,2026-01-01 09:33:36,ATM_FRAUD,10000.0,Uttar Pradesh,Mathura,Kotwali PS,27.517093,77.66238,UNDER_INVESTIGATION,2026-01-01 09:33:36,ATM_FRAUD
COMP008168,CMP-2026-008168,2026-01-01 10:13:41,CARD_FRAUD,15000.0,Uttar Pradesh,Meerut,Sadar PS,29.004358,77.706422,CLOSED,2026-01-01 10:13:41,CARD_FRAUD
COMP009454,CMP-2026-009454,2026-01-01 10:31:09,ATM_FRAUD,2000.0,Uttar Pradesh,Gorakhpur,Cantt PS,26.762359,83.373308,UNDER_INVESTIGATION,2026-01-01 10:31:09,ATM_FRAUD
COMP008518,CMP-2026-008518,2026-01-01 11:05:50,ONLINE_BANKING_FRAUD,10000.0,Uttar Pradesh,Jhansi,Sadar PS,25.433015,78.565803,UNDER_INVESTIGATION,2026-01-01 11:05:50,ONLINE_BANKING_FRAUD
COMP007436,CMP-2026-007436,2026-01-01 11:31:15,ATM_FRAUD,5000.0,Uttar Pradesh,Varanasi,Bhelupur PS,25.300426,83.005314,UNDER_INVESTIGATION,2026-01-01 11:31:15,ATM_FRAUD
COMP003486,CMP-2026-003486,2026-01-01 13:02:54,IDENTITY_FRAUD,45000.0,Uttar Pradesh,Lucknow,Indira Nagar PS,26.874743,80.99815,RESOLVED,2026-01-01 13:02:54,IDENTITY_FRAUD
COMP008402,CMP-2026-008402,2026-01-01 13:16:27,ATM_FRAUD,5000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Kasna PS,28.452863,77.521993,RESOLVED,2026-01-01 13:16:27,ATM_FRAUD
COMP006613,CMP-2026-006613,2026-01-01 13:32:22,ATM_FRAUD,2000.0,Uttar Pradesh,Gorakhpur,Cantt PS,26.765704,83.399205,REGISTERED,2026-01-01 13:32:22,ATM_FRAUD
COMP006674,CMP-2026-006674,2026-01-01 13:36:46,UPI_FRAUD,8000.0,Uttar Pradesh,Lucknow,Charbagh PS,26.815056,80.921373,CLOSED,2026-01-01 13:36:46,UPI_FRAUD
COMP008735,CMP-2026-008735,2026-01-01 14:03:10,ATM_FRAUD,2000.0,Uttar Pradesh,Muzaffarnagar,New Mandi PS,29.475165,77.740397,UNDER_INVESTIGATION,2026-01-01 14:03:10,ATM_FRAUD
COMP003101,CMP-2026-003101,2026-01-01 14:42:48,ATM_FRAUD,5000.0,Uttar Pradesh,Aligarh,Kwarsi PS,27.918389,78.067311,REGISTERED,2026-01-01 14:42:48,ATM_FRAUD
COMP001442,CMP-2026-001442,2026-01-01 14:44:06,ATM_FRAUD,15000.0,Uttar Pradesh,Ghaziabad,Indirapuram PS,28.64509,77.374599,REGISTERED,2026-01-01 14:44:06,ATM_FRAUD
COMP007904,CMP-2026-007904,2026-01-01 14:46:45,ATM_FRAUD,2000.0,Uttar Pradesh,Muzaffarnagar,New Mandi PS,29.460982,77.711676,CLOSED,2026-01-01 14:46:45,ATM_FRAUD
COMP002700,CMP-2026-002700,2026-01-01 18:13:17,ATM_FRAUD,10000.0,Uttar Pradesh,Mathura,Kotwali PS,27.515743,77.673975,CLOSED,2026-01-01 18:13:17,ATM_FRAUD
COMP009399,CMP-2026-009399,2026-01-01 18:26:22,ATM_FRAUD,5000.0,Uttar Pradesh,Varanasi,Dashashwamedh PS,25.298001,83.007266,REGISTERED,2026-01-01 18:26:22,ATM_FRAUD
COMP002667,CMP-2026-002667,2026-01-01 19:05:03,ONLINE_BANKING_FRAUD,10000.0,Uttar Pradesh,Jaunpur,Line Bazar PS,25.738757,82.681192,CLOSED,2026-01-01 19:05:03,ONLINE_BANKING_FRAUD
COMP002580,CMP-2026-002580,2026-01-01 19:26:26,CARD_FRAUD,2000.0,Uttar Pradesh,Lucknow,Gomti Nagar PS,26.861642,80.989283,REGISTERED,2026-01-01 19:26:26,CARD_FRAUD
COMP006402,CMP-2026-006402,2026-01-01 19:27:16,IDENTITY_FRAUD,2000.0,Uttar Pradesh,Varanasi,Sigra PS,25.332272,82.981591,CLOSED,2026-01-01 19:27:16,IDENTITY_FRAUD
COMP003354,CMP-2026-003354,2026-01-01 20:49:30,PHISHING,5000.0,Uttar Pradesh,Ghaziabad,Indirapuram PS,28.644667,77.373406,CLOSED,2026-01-01 20:49:30,PHISHING
COMP007122,CMP-2026-007122,2026-01-01 20:59:06,UPI_FRAUD,5000.0,Uttar Pradesh,Ghaziabad,Indirapuram PS,28.655833,77.37643,CLOSED,2026-01-01 20:59:06,UPI_FRAUD
COMP001978,CMP-2026-001978,2026-01-01 22:48:16,ATM_FRAUD,10000.0,Uttar Pradesh,Kanpur Nagar,Kalyanpur PS,26.489178,80.260301,UNDER_INVESTIGATION,2026-01-01 22:48:16,ATM_FRAUD
COMP009553,CMP-2026-009553,2026-01-01 23:30:05,ONLINE_BANKING_FRAUD,8000.0,Uttar Pradesh,Ghaziabad,Kavi Nagar PS,28.695214,77.450431,CLOSED,2026-01-01 23:30:05,ONLINE_BANKING_FRAUD
COMP009409,CMP-2026-009409,2026-01-02 00:42:03,ATM_FRAUD,10000.0,Uttar Pradesh,Kanpur Nagar,Kidwai Nagar PS,26.421179,80.336052,REGISTERED,2026-01-02 00:42:03,ATM_FRAUD
COMP004620,CMP-2026-004620,2026-01-02 00:53:36,ATM_FRAUD,10000.0,Uttar Pradesh,Kanpur Nagar,Kidwai Nagar PS,26.435618,80.345969,UNDER_INVESTIGATION,2026-01-02 00:53:36,ATM_FRAUD
COMP007354,CMP-2026-007354,2026-01-02 01:03:17,UPI_FRAUD,8000.0,Uttar Pradesh,Jaunpur,Kotwali PS,25.75609,82.705026,UNDER_INVESTIGATION,2026-01-02 01:03:17,UPI_FRAUD
COMP007483,CMP-2026-007483,2026-01-02 01:27:51,CARD_FRAUD,30000.0,Uttar Pradesh,Prayagraj,Naini PS,25.370191,81.8623,REGISTERED,2026-01-02 01:27:51,CARD_FRAUD
COMP000557,CMP-2026-000557,2026-01-02 01:31:12,CARD_FRAUD,8000.0,Uttar Pradesh,Gorakhpur,Gulriha PS,26.803996,83.387259,REGISTERED,2026-01-02 01:31:12,CARD_FRAUD
COMP008122,CMP-2026-008122,2026-01-02 01:54:10,ATM_FRAUD,10000.0,Uttar Pradesh,Agra,Tajganj PS,27.160618,78.045045,CLOSED,2026-01-02 01:54:10,ATM_FRAUD
COMP006801,CMP-2026-006801,2026-01-02 02:03:24,ONLINE_BANKING_FRAUD,10000.0,Uttar Pradesh,Ghaziabad,Kavi Nagar PS,28.672925,77.450783,RESOLVED,2026-01-02 02:03:24,ONLINE_BANKING_FRAUD
COMP007963,CMP-2026-007963,2026-01-02 02:54:02,ATM_FRAUD,2000.0,Uttar Pradesh,Muzaffarnagar,New Mandi PS,29.458493,77.708505,UNDER_INVESTIGATION,2026-01-02 02:54:02,ATM_FRAUD
COMP008092,CMP-2026-008092,2026-01-02 04:00:04,PHISHING,8000.0,Uttar Pradesh,Gorakhpur,Cantt PS,26.756264,83.399346,RESOLVED,2026-01-02 04:00:04,PHISHING
COMP006640,CMP-2026-006640,2026-01-02 04:29:49,UPI_FRAUD,30000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Kasna PS,28.469675,77.502613,CLOSED,2026-01-02 04:29:49,UPI_FRAUD
COMP002250,CMP-2026-002250,2026-01-02 04:40:06,ONLINE_BANKING_FRAUD,2000.0,Uttar Pradesh,Saharanpur,Sadar PS,29.981175,77.549704,CLOSED,2026-01-02 04:40:06,ONLINE_BANKING_FRAUD
COMP003997,CMP-2026-003997,2026-01-02 04:57:29,ATM_FRAUD,5000.0,Uttar Pradesh,Moradabad,Civil Lines PS,28.844658,78.751052,REGISTERED,2026-01-02 04:57:29,ATM_FRAUD
COMP006203,CMP-2026-006203,2026-01-02 05:31:52,UPI_FRAUD,20000.0,Uttar Pradesh,Varanasi,Cantt PS,25.348904,82.981256,UNDER_INVESTIGATION,2026-01-02 05:31:52,UPI_FRAUD
COMP004460,CMP-2026-004460,2026-01-02 05:48:17,CARD_FRAUD,5000.0,Uttar Pradesh,Lucknow,Charbagh PS,26.833838,80.926001,CLOSED,2026-01-02 05:48:17,CARD_FRAUD
COMP006164,CMP-2026-006164,2026-01-02 06:27:04,ATM_FRAUD,2000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Sector 58 PS,28.62696,77.366166,REGISTERED,2026-01-02 06:27:04,ATM_FRAUD
COMP001715,CMP-2026-001715,2026-01-02 06:49:36,UPI_FRAUD,15000.0,Uttar Pradesh,Varanasi,Sigra PS,25.307063,82.972424,CLOSED,2026-01-02 06:49:36,UPI_FRAUD
COMP009008,CMP-2026-009008,2026-01-02 06:59:05,CARD_FRAUD,20000.0,Uttar Pradesh,Meerut,Sadar PS,28.994994,77.704844,UNDER_INVESTIGATION,2026-01-02 06:59:05,CARD_FRAUD
COMP004909,CMP-2026-004909,2026-01-02 07:06:23,ATM_FRAUD,5000.0,Uttar Pradesh,Agra,Tajganj PS,27.173482,78.041181,RESOLVED,2026-01-02 07:06:23,ATM_FRAUD
COMP009406,CMP-2026-009406,2026-01-02 07:18:18,CARD_FRAUD,30000.0,Uttar Pradesh,Muzaffarnagar,Civil Lines PS,29.48107,77.702978,REGISTERED,2026-01-02 07:18:18,CARD_FRAUD
COMP008367,CMP-2026-008367,2026-01-02 07:44:22,ATM_FRAUD,2000.0,Uttar Pradesh,Meerut,Nauchandi PS,28.962953,77.716794,REGISTERED,2026-01-02 07:44:22,ATM_FRAUD
COMP005582,CMP-2026-005582,2026-01-02 07:53:08,ATM_FRAUD,30000.0,Uttar Pradesh,Lucknow,Hazratganj PS,26.839956,80.952572,REGISTERED,2026-01-02 07:53:08,ATM_FRAUD
COMP000249,CMP-2026-000249,2026-01-02 08:22:24,ATM_FRAUD,20000.0,Uttar Pradesh,Prayagraj,Colonelganj PS,25.462484,81.850125,REGISTERED,2026-01-02 08:22:24,ATM_FRAUD
COMP007891,CMP-2026-007891,2026-01-02 08:41:59,CARD_FRAUD,5000.0,Uttar Pradesh,Kanpur Nagar,Kalyanpur PS,26.483892,80.271004,RESOLVED,2026-01-02 08:41:59,CARD_FRAUD
COMP003471,CMP-2026-003471,2026-01-02 09:33:34,UPI_FRAUD,5000.0,Uttar Pradesh,Agra,Sadar Bazar PS,27.138555,77.998134,UNDER_INVESTIGATION,2026-01-02 09:33:34,UPI_FRAUD
COMP007888,CMP-2026-007888,2026-01-02 10:01:10,CARD_FRAUD,8000.0,Uttar Pradesh,Muzaffarnagar,New Mandi PS,29.453287,77.729208,UNDER_INVESTIGATION,2026-01-02 10:01:10,CARD_FRAUD
COMP002779,CMP-2026-002779,2026-01-02 10:27:33,ATM_FRAUD,10000.0,Uttar Pradesh,Kanpur Nagar,Kidwai Nagar PS,26.400445,80.336376,UNDER_INVESTIGATION,2026-01-02 10:27:33,ATM_FRAUD
COMP006542,CMP-2026-006542,2026-01-02 10:41:20,ONLINE_BANKING_FRAUD,20000.0,Uttar Pradesh,Varanasi,Shivpur PS,25.361619,82.96626,RESOLVED,2026-01-02 10:41:20,ONLINE_BANKING_FRAUD
COMP009516,CMP-2026-009516,2026-01-02 11:21:23,CARD_FRAUD,2000.0,Uttar Pradesh,Ghaziabad,Indirapuram PS,28.649131,77.359004,CLOSED,2026-01-02 11:21:23,CARD_FRAUD
COMP008840,CMP-2026-008840,2026-01-02 11:52:25,ATM_FRAUD,2000.0,Uttar Pradesh,Agra,Tajganj PS,27.164504,78.051373,RESOLVED,2026-01-02 11:52:25,ATM_FRAUD
COMP001492,CMP-2026-001492,2026-01-02 14:18:24,CARD_FRAUD,2000.0,Uttar Pradesh,Aligarh,Kwarsi PS,27.923161,78.09244,RESOLVED,2026-01-02 14:18:24,CARD_FRAUD
COMP009573,CMP-2026-009573,2026-01-02 15:03:56,ATM_FRAUD,20000.0,Uttar Pradesh,Ghaziabad,Indirapuram PS,28.650575,77.365393,UNDER_INVESTIGATION,2026-01-02 15:03:56,ATM_FRAUD
COMP008178,CMP-2026-008178,2026-01-02 15:51:16,CARD_FRAUD,30000.0,Uttar Pradesh,Varanasi,Sigra PS,25.304719,82.985723,RESOLVED,2026-01-02 15:51:16,CARD_FRAUD
COMP002668,CMP-2026-002668,2026-01-02 15:53:07,UPI_FRAUD,5000.0,Uttar Pradesh,Meerut,Sadar PS,28.984858,77.703482,REGISTERED,2026-01-02 15:53:07,UPI_FRAUD
COMP006486,CMP-2026-006486,2026-01-02 15:56:21,CARD_FRAUD,45000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Sector 58 PS,28.616404,77.352498,UNDER_INVESTIGATION,2026-01-02 15:56:21,CARD_FRAUD
COMP001931,CMP-2026-001931,2026-01-02 16:01:32,ATM_FRAUD,20000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Surajpur PS,28.520037,77.403961,RESOLVED,2026-01-02 16:01:32,ATM_FRAUD
COMP009646,CMP-2026-009646,2026-01-02 17:07:16,UPI_FRAUD,2000.0,Uttar Pradesh,Bareilly,CB Ganj PS,28.395107,79.342279,CLOSED,2026-01-02 17:07:16,UPI_FRAUD
COMP009904,CMP-2026-009904,2026-01-02 18:01:52,IDENTITY_FRAUD,10000.0,Uttar Pradesh,Varanasi,Sarnath PS,25.363099,83.031022,UNDER_INVESTIGATION,2026-01-02 18:01:52,IDENTITY_FRAUD
COMP005454,CMP-2026-005454,2026-01-02 19:26:38,ATM_FRAUD,15000.0,Uttar Pradesh,Saharanpur,Janakpuri PS,29.953316,77.53123,RESOLVED,2026-01-02 19:26:38,ATM_FRAUD
COMP009191,CMP-2026-009191,2026-01-02 19:40:35,CARD_FRAUD,8000.0,Uttar Pradesh,Agra,Tajganj PS,27.164623,78.042697,RESOLVED,2026-01-02 19:40:35,CARD_FRAUD
COMP007395,CMP-2026-007395,2026-01-02 21:47:15,CARD_FRAUD,10000.0,Uttar Pradesh,Lucknow,Alambagh PS,26.81806,80.909079,CLOSED,2026-01-02 21:47:15,CARD_FRAUD
COMP004762,CMP-2026-004762,2026-01-02 22:05:19,ATM_FRAUD,8000.0,Uttar Pradesh,Saharanpur,Sadar PS,29.959974,77.535443,CLOSED,2026-01-02 22:05:19,ATM_FRAUD
COMP000759,CMP-2026-000759,2026-01-02 22:52:53,ATM_FRAUD,10000.0,Uttar Pradesh,Lucknow,Hazratganj PS,26.850485,80.942769,CLOSED,2026-01-02 22:52:53,ATM_FRAUD
COMP003362,CMP-2026-003362,2026-01-03 00:02:33,ONLINE_BANKING_FRAUD,5000.0,Uttar Pradesh,Jhansi,Nawabad PS,25.482426,78.556159,RESOLVED,2026-01-03 00:02:33,ONLINE_BANKING_FRAUD
COMP004187,CMP-2026-004187,2026-01-03 00:48:20,CARD_FRAUD,8000.0,Uttar Pradesh,Meerut,Sadar PS,28.986049,77.707613,RESOLVED,2026-01-03 00:48:20,CARD_FRAUD
COMP000909,CMP-2026-000909,2026-01-03 01:18:44,PHISHING,10000.0,Uttar Pradesh,Ayodhya (Faizabad),Kotwali PS,26.767562,82.145001,REGISTERED,2026-01-03 01:18:44,PHISHING
COMP003254,CMP-2026-003254,2026-01-03 01:37:23,ATM_FRAUD,8000.0,Uttar Pradesh,Ghaziabad,Indirapuram PS,28.663328,77.388371,CLOSED,2026-01-03 01:37:23,ATM_FRAUD
COMP002301,CMP-2026-002301,2026-01-03 01:58:04,ATM_FRAUD,2000.0,Uttar Pradesh,Prayagraj,Jhusi PS,25.42395,81.922773,RESOLVED,2026-01-03 01:58:04,ATM_FRAUD
COMP000885,CMP-2026-000885,2026-01-03 02:58:44,UPI_FRAUD,45000.0,Uttar Pradesh,Jhansi,Nawabad PS,25.441575,78.57754,REGISTERED,2026-01-03 02:58:44,UPI_FRAUD
COMP007276,CMP-2026-007276,2026-01-03 03:54:48,UPI_FRAUD,2000.0,Uttar Pradesh,Saharanpur,Sadar PS,29.972699,77.544367,RESOLVED,2026-01-03 03:54:48,UPI_FRAUD
COMP004564,CMP-2026-004564,2026-01-03 03:55:57,UPI_FRAUD,5000.0,Uttar Pradesh,Aligarh,Kwarsi PS,27.917487,78.078098,RESOLVED,2026-01-03 03:55:57,UPI_FRAUD
COMP004651,CMP-2026-004651,2026-01-03 04:19:52,IDENTITY_FRAUD,5000.0,Uttar Pradesh,Varanasi,Sigra PS,25.322551,82.988197,RESOLVED,2026-01-03 04:19:52,IDENTITY_FRAUD
COMP008144,CMP-2026-008144,2026-01-03 04:22:08,ONLINE_BANKING_FRAUD,2000.0,Uttar Pradesh,Bareilly,CB Ganj PS,28.418129,79.356122,CLOSED,2026-01-03 04:22:08,ONLINE_BANKING_FRAUD
COMP000695,CMP-2026-000695,2026-01-03 04:36:59,UPI_FRAUD,2000.0,Uttar Pradesh,Meerut,Sadar PS,28.976516,77.701691,RESOLVED,2026-01-03 04:36:59,UPI_FRAUD
COMP006060,CMP-2026-006060,2026-01-03 05:03:28,CARD_FRAUD,8000.0,Uttar Pradesh,Mathura,Kotwali PS,27.49637,77.673613,CLOSED,2026-01-03 05:03:28,CARD_FRAUD
COMP002409,CMP-2026-002409,2026-01-03 06:29:55,UPI_FRAUD,5000.0,Uttar Pradesh,Prayagraj,Naini PS,25.400808,81.863407,CLOSED,2026-01-03 06:29:55,UPI_FRAUD
COMP003359,CMP-2026-003359,2026-01-03 06:54:32,UPI_FRAUD,5000.0,Uttar Pradesh,Bareilly,CB Ganj PS,28.407235,79.351259,CLOSED,2026-01-03 06:54:32,UPI_FRAUD
COMP005581,CMP-2026-005581,2026-01-03 07:00:25,UPI_FRAUD,5000.0,Uttar Pradesh,Lucknow,Charbagh PS,26.829387,80.910459,CLOSED,2026-01-03 07:00:25,UPI_FRAUD
COMP004099,CMP-2026-004099,2026-01-03 07:29:04,CARD_FRAUD,10000.0,Uttar Pradesh,Varanasi,Sigra PS,25.325432,82.98408,CLOSED,2026-01-03 07:29:04,CARD_FRAUD
COMP009743,CMP-2026-009743,2026-01-03 08:10:13,ATM_FRAUD,10000.0,Uttar Pradesh,Saharanpur,Sadar PS,29.970009,77.544605,RESOLVED,2026-01-03 08:10:13,ATM_FRAUD
COMP003033,CMP-2026-003033,2026-01-03 08:19:18,ATM_FRAUD,30000.0,Uttar Pradesh,Moradabad,Majhola PS,28.818945,78.73423,REGISTERED,2026-01-03 08:19:18,ATM_FRAUD
COMP001453,CMP-2026-001453,2026-01-03 09:08:51,ATM_FRAUD,5000.0,Uttar Pradesh,Kanpur Nagar,Govind Nagar PS,26.431727,80.296964,REGISTERED,2026-01-03 09:08:51,ATM_FRAUD
COMP007984,CMP-2026-007984,2026-01-03 10:13:34,ONLINE_BANKING_FRAUD,10000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Sector 20 PS,28.572877,77.319565,CLOSED,2026-01-03 10:13:34,ONLINE_BANKING_FRAUD
COMP008878,CMP-2026-008878,2026-01-03 10:28:38,ATM_FRAUD,15000.0,Uttar Pradesh,Varanasi,Bhelupur PS,25.314905,82.990156,REGISTERED,2026-01-03 10:28:38,ATM_FRAUD
COMP008447,CMP-2026-008447,2026-01-03 10:50:26,CARD_FRAUD,10000.0,Uttar Pradesh,Bareilly,Kotwali PS,28.353671,79.411491,CLOSED,2026-01-03 10:50:26,CARD_FRAUD
COMP001772,CMP-2026-001772,2026-01-03 11:10:56,ATM_FRAUD,10000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Sector 20 PS,28.576255,77.315992,REGISTERED,2026-01-03 11:10:56,ATM_FRAUD
COMP005135,CMP-2026-005135,2026-01-03 11:13:23,ATM_FRAUD,10000.0,Uttar Pradesh,Prayagraj,Naini PS,25.378548,81.851983,CLOSED,2026-01-03 11:13:23,ATM_FRAUD
COMP006709,CMP-2026-006709,2026-01-03 11:14:52,ATM_FRAUD,30000.0,Uttar Pradesh,Ghaziabad,Kaushambi PS,28.653646,77.350445,CLOSED,2026-01-03 11:14:52,ATM_FRAUD
COMP007026,CMP-2026-007026,2026-01-03 12:42:31,ATM_FRAUD,5000.0,Uttar Pradesh,Meerut,Sadar PS,28.985801,77.708281,CLOSED,2026-01-03 12:42:31,ATM_FRAUD
COMP005041,CMP-2026-005041,2026-01-03 12:44:43,UPI_FRAUD,30000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Kasna PS,28.456924,77.506066,RESOLVED,2026-01-03 12:44:43,UPI_FRAUD
COMP004430,CMP-2026-004430,2026-01-03 14:07:23,ATM_FRAUD,2000.0,Uttar Pradesh,Kanpur Nagar,Govind Nagar PS,26.439517,80.300497,CLOSED,2026-01-03 14:07:23,ATM_FRAUD
COMP005425,CMP-2026-005425,2026-01-03 15:09:02,UPI_FRAUD,2000.0,Uttar Pradesh,Meerut,Sadar PS,28.976096,77.698268,REGISTERED,2026-01-03 15:09:02,UPI_FRAUD
COMP009504,CMP-2026-009504,2026-01-03 15:47:12,ATM_FRAUD,5000.0,Uttar Pradesh,Meerut,Sadar PS,28.992632,77.695993,RESOLVED,2026-01-03 15:47:12,ATM_FRAUD
COMP004938,CMP-2026-004938,2026-01-03 16:09:25,CARD_FRAUD,30000.0,Uttar Pradesh,Lucknow,Alambagh PS,26.807553,80.925124,REGISTERED,2026-01-03 16:09:25,CARD_FRAUD
COMP008517,CMP-2026-008517,2026-01-03 16:11:51,UPI_FRAUD,5000.0,Uttar Pradesh,Mathura,Kotwali PS,27.497621,77.664095,REGISTERED,2026-01-03 16:11:51,UPI_FRAUD
COMP004812,CMP-2026-004812,2026-01-03 16:50:29,ATM_FRAUD,5000.0,Uttar Pradesh,Jhansi,Sadar PS,25.424705,78.554889,RESOLVED,2026-01-03 16:50:29,ATM_FRAUD
COMP009620,CMP-2026-009620,2026-01-03 17:00:12,ONLINE_BANKING_FRAUD,5000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Sector 58 PS,28.601751,77.356191,UNDER_INVESTIGATION,2026-01-03 17:00:12,ONLINE_BANKING_FRAUD
COMP007298,CMP-2026-007298,2026-01-03 18:01:49,UPI_FRAUD,8000.0,Uttar Pradesh,Ghaziabad,Kaushambi PS,28.64875,77.338999,RESOLVED,2026-01-03 18:01:49,UPI_FRAUD
COMP009171,CMP-2026-009171,2026-01-03 18:18:39,ATM_FRAUD,20000.0,Uttar Pradesh,Moradabad,Civil Lines PS,28.851563,78.758042,RESOLVED,2026-01-03 18:18:39,ATM_FRAUD
COMP002688,CMP-2026-002688,2026-01-03 18:30:24,UPI_FRAUD,10000.0,Uttar Pradesh,Varanasi,Shivpur PS,25.362272,82.955481,UNDER_INVESTIGATION,2026-01-03 18:30:24,UPI_FRAUD
COMP005891,CMP-2026-005891,2026-01-03 18:39:53,CARD_FRAUD,2000.0,Uttar Pradesh,Noida (Gautam Buddha Nagar),Surajpur PS,28.522961,77.419544,RESOLVED,2026-01-03 18:39:53,CARD_FRAUD
COMP001078,CMP-2026-001078,2026-01-03 19:16:35,CARD_FRAUD,15000.0,Uttar Pradesh,Aligarh,Civil Lines PS,27.916736,78.069138,RESOLVED,2026-01-03 19:16:35,CARD_FRAUD
COMP003125,CMP-2026-003125,2026-01-03 19:21:26,PHISHING,8000.0,Uttar Pradesh,Aligarh,Kwarsi PS,27.925859,78.098504,REGISTERED,2026-01-03 19:21:26,PHISHING
COMP005175,CMP-2026-005175,2026-01-03 19:37:37,ONLINE_BANKING_FRAUD,8000.0,Uttar Pradesh,Gorakhpur,Gulriha PS,26.765385,83.387837,CLOSED,2026-01-03 19:37:37,ONLINE_BANKING_FRAUD
COMP003338,CMP-2026-003338,2026-01-03 19:57:00,UPI_FRAUD,30000.0,Uttar Pradesh,Varanasi,Sarnath PS,25.377859,83.024275,CLOSED,2026-01-03 19:57:00,UPI_FRAUD
COMP009260,CMP-2026-009260,2026-01-03 20:15:12,CARD_FRAUD,5000.0,Uttar Pradesh,Ghaziabad,Kaushambi PS,28.637963,77.33974,RESOLVED,2026-01-03 20:15:12,CARD_FRAUD
